Precio,Ubicacion,Detalles,precio_peso,m2_totales,dormitorios,banos,comuna,precio_m2
UF2.153,"Compañía De Jesús 1735, Barrio Brasil, Santiago",Estudio a 2 dormitorios 1 a 2 baños 23 - 55 m² útiles,81814000,39.0,2.0,2.0,Santiago,2097794.871794872
UF2.332,"San Diego 2044, Santiago, Franklin - Biobío, Santiago",1 a 2 dormitorios 1 a 2 baños 34 - 51 m² útiles,88616000,42.5,2.0,2.0,Santiago,2085082.3529411764
UF1.782,"Abate Molina 590, Santiago, Barrio República, Santiago",1 a 2 dormitorios 1 a 2 baños 20 - 43 m² útiles,67716000,31.5,2.0,2.0,Santiago,2149714.285714286
UF2.820,"Maimónides 551, Santiago, Chile, Santa Isabel, Santiago",Estudio a 2 dormitorios 1 a 2 baños 28 - 50 m² útiles,107160000,39.0,2.0,2.0,Santiago,2747692.3076923075
UF3.130,"Sta Victoria 155, Santa Isabel, Santiago",1 a 3 dormitorios 1 a 3 baños 31 - 98 m² útiles,118940000,64.5,3.0,3.0,Santiago,1844031.007751938
UF2.240,"Pasaje Vicuña Mackenna 669, Barrio Diez De Julio, Santiago",Estudio a 2 dormitorios 1 a 2 baños 22 - 52 m² útiles,85120000,37.0,2.0,2.0,Santiago,2300540.5405405406
UF2.133,"Tarapacá 1140, Bulnes, Santiago",Estudio a 2 dormitorios 1 a 2 baños 24 - 49 m² útiles,81054000,36.5,2.0,2.0,Santiago,2220657.5342465756
UF1.990,"Claudio Gay, Santiago, Barrio República, Santiago",1 a 2 dormitorios 1 a 2 baños 20 - 51 m² útiles,75620000,35.5,2.0,2.0,Santiago,2130140.8450704226
UF2.475,"Lira 157, Santa Isabel, Santiago",1 a 2 dormitorios 1 a 2 baños 32 - 49 m² útiles,94050000,40.5,2.0,2.0,Santiago,2322222.222222222
UF2.950,"Arturo Prat 565, San Diego, Santiago",1 a 2 dormitorios 1 a 2 baños 33 - 50 m² útiles,112100000,41.5,2.0,2.0,Santiago,2701204.8192771086
UF2.616,"Eleuterio Ramírez 645, Santa Isabel, Santiago",Estudio a 2 dormitorios 1 a 2 baños 28 - 53 m² útiles,99408000,40.5,2.0,2.0,Santiago,2454518.5185185187
UF2.832,"Sta Victoria 382, Santiago, Santa Isabel, Santiago",1 a 2 dormitorios 1 a 2 baños 33 - 48 m² útiles,107616000,40.5,2.0,2.0,Santiago,2657185.185185185
UF3.023,"San Ignacio De Loyola 1801, Santiago, Parque O'Higgins, Santiago",1 a 2 dormitorios 1 a 2 baños 31 - 46 m² útiles,114874000,38.5,2.0,2.0,Santiago,2983740.25974026
UF3.000,"Eyzaguirre 590, Santiago, Barrio Diez De Julio, Santiago",1 a 2 dormitorios 1 a 2 baños 29 - 48 m² útiles,114000000,38.5,2.0,2.0,Santiago,2961038.961038961
UF2.993,"Rosas 1777, Barrio Brasil, Santiago",1 a 2 dormitorios 1 a 2 baños 33 - 57 m² útiles,113734000,45.0,2.0,2.0,Santiago,2527422.222222222
UF3.289,"Franklin 318, Santiago, Bogotá - Sierra Bella, Santiago",1 a 2 dormitorios 1 a 2 baños 36 - 51 m² útiles,124982000,43.5,2.0,2.0,Santiago,2873149.425287356
$95.000.000,"Av. Sta. Rosa 265, Santiago, Santiago",2 dormitorios 2 baños 43 m² útiles,95000000,43.0,2.0,2.0,Santiago,2209302.3255813955
UF1.590,"Carmen, 300 - 600, Santa Isabel, Santiago",1 dormitorio 1 baño 28 m² útiles,60420000,28.0,1.0,1.0,Santiago,2157857.1428571427
UF2.400,"Sta. Isabel Con Carmen, Santa Isabel, Santiago",2 dormitorios 2 baños 58 m² útiles,91200000,58.0,2.0,2.0,Santiago,1572413.7931034483
UF1.450,"TEATINOS - LETELIER, Centro Histórico De Santiago, Santiago",1 dormitorio 1 baño 35 m² útiles,55100000,35.0,1.0,1.0,Santiago,1574285.7142857143
UF2.690,"San Ignacio De Loyola, 0, Parque O'Higgins, Santiago",2 dormitorios 2 baños 55 m² útiles,102220000,55.0,2.0,2.0,Santiago,1858545.4545454546
UF3.890,"Argomedo, 11, Santa Isabel, Santiago",3 dormitorios 2 baños 76 m² útiles,147820000,76.0,3.0,2.0,Santiago,1945000.0
UF1.480,"Mario Kreutzberger, 1500 - 1800, Santiago",1 dormitorio 1 baño 27 m² útiles,56240000,27.0,1.0,1.0,Santiago,2082962.962962963
UF1.790,"Eyzaguirre, 600 - 900, San Diego, Santiago",2 dormitorios 1 baño 34 m² útiles,68020000,34.0,2.0,1.0,Santiago,2000588.2352941176
UF3.150,"Morandé, 600 - 900, Centro Histórico De Santiago, Santiago",2 dormitorios 2 baños 60 m² útiles,119700000,60.0,2.0,2.0,Santiago,1995000.0
UF4.400,"José Miguel Carrera 359, Santiago, Chile, Ejército - Toesca, Santiago",2 dormitorios 2 baños 56 m² útiles,167200000,56.0,2.0,2.0,Santiago,2985714.285714286
UF1.590,"Departamento, Barrio Diez De Julio, Santiago",1 dormitorio 1 baño 36 m² útiles,60420000,36.0,1.0,1.0,Santiago,1678333.3333333333
UF1.510,"Arturo Prat 1451 - 300, 0, Santiago",2 dormitorios 1 baño 33 m² útiles,57380000,33.0,2.0,1.0,Santiago,1738787.878787879
UF1.750,"Av. Sta. Isabel 747, Santiago, San Diego, Santiago",1 dormitorio 1 baño 32 m² útiles,66500000,32.0,1.0,1.0,Santiago,2078125.0
UF3.390,"Domeyko 2010, Santiago, Chile, Ejército - Toesca, Santiago",2 dormitorios 2 baños 52 m² útiles,128820000,52.0,2.0,2.0,Santiago,2477307.6923076925
UF2.800,"San Ignacio, Parque Almagro, Santiago",2 baños 62 m² útiles,106400000,62.0,,2.0,Santiago,1716129.0322580645
UF2.790,"Lord Cochrane 209, Santiago, Bulnes, Santiago",2 dormitorios 2 baños 54 m² útiles,106020000,54.0,2.0,2.0,Santiago,1963333.3333333333
UF2.290,"Av. Vicuña Mackenna 2004, Santiago, Bogotá - Sierra Bella, Santiago",1 dormitorio 1 baño 30 m² útiles,87020000,30.0,1.0,1.0,Santiago,2900666.6666666665
UF1.890,"Juan Martínez De Rozas 2375, Santiago, Chile, Parque Los Reyes, Santiago",1 dormitorio 1 baño 33 m² útiles,71820000,33.0,1.0,1.0,Santiago,2176363.6363636362
UF1.490,"Av. Ejército Libertador 688, Santiago, Chile, Ejército - Toesca, Santiago",1 dormitorio 1 baño 37 m² útiles,56620000,37.0,1.0,1.0,Santiago,1530270.2702702703
UF2.690,"Av. Manuel Antonio Matta 99, Santiago, Barrio Diez De Julio, Santiago",2 dormitorios 2 baños 46 m² útiles,102220000,46.0,2.0,2.0,Santiago,2222173.913043478
UF3.090,"Carmen 319, Santiago, Chile, Santa Isabel, Santiago",2 dormitorios 2 baños 58 m² útiles,117420000,58.0,2.0,2.0,Santiago,2024482.7586206896
UF2.390,"Domeyko 2010, Santiago, Ejército - Toesca, Santiago",1 dormitorio 1 baño 35 m² útiles,90820000,35.0,1.0,1.0,Santiago,2594857.1428571427
UF1.400,"Av. Almte. Blanco Encalada 1727, Santiago, Ejército - Toesca, Santiago",1 dormitorio 1 baño 22 m² útiles,53200000,22.0,1.0,1.0,Santiago,2418181.8181818184
UF2.390,"Fray Camilo Henríquez 463, Santiago, Santa Isabel, Santiago",2 dormitorios 1 baño 50 m² útiles,90820000,50.0,2.0,1.0,Santiago,1816400.0
UF2.790,"Sta Victoria 492, Santa Isabel, Santiago",2 dormitorios 2 baños 56 m² útiles,106020000,56.0,2.0,2.0,Santiago,1893214.2857142857
UF2.390,"San Francisco 350, Edificio San Francisco Club, Santiago, San Diego, Santiago",3 dormitorios 2 baños 60 m² útiles,90820000,60.0,3.0,2.0,Santiago,1513666.6666666667
UF2.490,"San Isidro 520, Santiago, Santa Isabel, Santiago",2 dormitorios 1 baño 48 m² útiles,94620000,48.0,2.0,1.0,Santiago,1971250.0
UF1.590,"Av. Ejército Libertador 688, Santiago, Chile, Ejército - Toesca, Santiago",1 dormitorio 1 baño 37 m² útiles,60420000,37.0,1.0,1.0,Santiago,1632972.972972973
UF8.700,"Camino La Cumbre, 3900 - 4200, Barrio República, Santiago",3 dormitorios 2 baños 89 m² útiles,330600000,89.0,3.0,2.0,Santiago,3714606.741573034
UF2.990,"Santa Isabel, Santiago",2 dormitorios 2 baños 60 m² útiles,113620000,60.0,2.0,2.0,Santiago,1893666.6666666667
UF3.500,"Ejército - Toesca, Santiago",2 dormitorios 2 baños 44 m² útiles,133000000,44.0,2.0,2.0,Santiago,3022727.272727273
UF1.656,Santiago,1 dormitorio 1 baño 28 m² útiles,62928000,28.0,1.0,1.0,Santiago,2247428.5714285714
UF3.590,"San Diego, Santiago",2 dormitorios 2 baños 65 m² útiles,136420000,65.0,2.0,2.0,Santiago,2098769.230769231
UF13.500,"Miraflores  Depto, Centro Histórico De Santiago, Santiago",3 dormitorios 2 baños 189 m² útiles,513000000,189.0,3.0,2.0,Santiago,2714285.714285714
UF3.445,"Morandé, Centro Histórico De Santiago, Santiago",2 dormitorios 2 baños 54 m² útiles,130910000,54.0,2.0,2.0,Santiago,2424259.2592592593
UF17.000,"Ismael Valdés Vergara , Departamento, Barrio Lastarria, Santiago",7 dormitorios 4 baños 255 m² útiles,646000000,255.0,7.0,4.0,Santiago,2533333.3333333335
UF2.870,"Morandé , Dpto, Centro Histórico De Santiago, Santiago",2 dormitorios 2 baños 60 m² útiles,109060000,60.0,2.0,2.0,Santiago,1817666.6666666667
UF2.300,"PARA COMENZAR TUS DIAS EN FAMILIA O TUS PRIMEROS PASOS DE UNIVERSIDAD, Centro Histórico De Santiago, Santiago",2 dormitorios 2 baños 45 m² útiles,87400000,45.0,2.0,2.0,Santiago,1942222.2222222222
