Precio,Ubicacion,Detalles
UF2.820,"Maimónides 551, Santiago, Chile, Santa Isabel, Santiago",Estudio a 2 dormitorios 1 a 2 baños 28 - 50 m² útiles
UF3.130,"Sta Victoria 155, Santa Isabel, Santiago",1 a 3 dormitorios 1 a 3 baños 31 - 98 m² útiles
UF2.240,"Pasaje Vicuña Mackenna 669, Barrio Diez De Julio, Santiago",Estudio a 2 dormitorios 1 a 2 baños 22 - 52 m² útiles
UF2.133,"Tarapacá 1140, Bulnes, Santiago",Estudio a 2 dormitorios 1 a 2 baños 24 - 49 m² útiles
UF1.990,"Claudio Gay, Santiago, Barrio República, Santiago",1 a 2 dormitorios 1 a 2 baños 20 - 51 m² útiles
UF2.475,"Lira 157, Santa Isabel, Santiago",1 a 2 dormitorios 1 a 2 baños 32 - 49 m² útiles
UF2.950,"Arturo Prat 565, San Diego, Santiago",1 a 2 dormitorios 1 a 2 baños 33 - 50 m² útiles
UF2.616,"Eleuterio Ramírez 645, Santa Isabel, Santiago",Estudio a 2 dormitorios 1 a 2 baños 28 - 53 m² útiles
UF2.832,"Sta Victoria 382, Santiago, Santa Isabel, Santiago",1 a 2 dormitorios 1 a 2 baños 33 - 48 m² útiles
UF3.023,"San Ignacio De Loyola 1801, Santiago, Parque O'Higgins, Santiago",1 a 2 dormitorios 1 a 2 baños 31 - 46 m² útiles
UF3.000,"Eyzaguirre 590, Santiago, Barrio Diez De Julio, Santiago",1 a 2 dormitorios 1 a 2 baños 29 - 48 m² útiles
UF2.993,"Rosas 1777, Barrio Brasil, Santiago",1 a 2 dormitorios 1 a 2 baños 33 - 57 m² útiles
UF3.289,"Franklin 318, Santiago, Bogotá - Sierra Bella, Santiago",1 a 2 dormitorios 1 a 2 baños 36 - 51 m² útiles
$95.000.000,"Av. Sta. Rosa 265, Santiago, Santiago",2 dormitorios 2 baños 43 m² útiles
UF1.590,"Carmen, 300 - 600, Santa Isabel, Santiago",1 dormitorio 1 baño 28 m² útiles
UF2.400,"Sta. Isabel Con Carmen, Santa Isabel, Santiago",2 dormitorios 2 baños 58 m² útiles
UF1.450,"TEATINOS - LETELIER, Centro Histórico De Santiago, Santiago",1 dormitorio 1 baño 35 m² útiles
UF2.690,"San Ignacio De Loyola, 0, Parque O'Higgins, Santiago",2 dormitorios 2 baños 55 m² útiles
UF3.890,"Argomedo, 11, Santa Isabel, Santiago",3 dormitorios 2 baños 76 m² útiles
UF1.480,"Mario Kreutzberger, 1500 - 1800, Santiago",1 dormitorio 1 baño 27 m² útiles
UF1.790,"Eyzaguirre, 600 - 900, San Diego, Santiago",2 dormitorios 1 baño 34 m² útiles
UF3.150,"Morandé, 600 - 900, Centro Histórico De Santiago, Santiago",2 dormitorios 2 baños 60 m² útiles
UF4.400,"José Miguel Carrera 359, Santiago, Chile, Ejército - Toesca, Santiago",2 dormitorios 2 baños 56 m² útiles
UF1.590,"Departamento, Barrio Diez De Julio, Santiago",1 dormitorio 1 baño 36 m² útiles
UF1.510,"Arturo Prat 1451 - 300, 0, Santiago",2 dormitorios 1 baño 33 m² útiles
UF1.750,"Av. Sta. Isabel 747, Santiago, San Diego, Santiago",1 dormitorio 1 baño 32 m² útiles
UF3.390,"Domeyko 2010, Santiago, Chile, Ejército - Toesca, Santiago",2 dormitorios 2 baños 52 m² útiles
UF2.800,"San Ignacio, Parque Almagro, Santiago",2 baños 62 m² útiles
UF2.790,"Lord Cochrane 209, Santiago, Bulnes, Santiago",2 dormitorios 2 baños 54 m² útiles
UF2.290,"Av. Vicuña Mackenna 2004, Santiago, Bogotá - Sierra Bella, Santiago",1 dormitorio 1 baño 30 m² útiles
UF1.890,"Juan Martínez De Rozas 2375, Santiago, Chile, Parque Los Reyes, Santiago",1 dormitorio 1 baño 33 m² útiles
UF1.490,"Av. Ejército Libertador 688, Santiago, Chile, Ejército - Toesca, Santiago",1 dormitorio 1 baño 37 m² útiles
UF2.690,"Av. Manuel Antonio Matta 99, Santiago, Barrio Diez De Julio, Santiago",2 dormitorios 2 baños 46 m² útiles
UF3.090,"Carmen 319, Santiago, Chile, Santa Isabel, Santiago",2 dormitorios 2 baños 58 m² útiles
UF2.390,"Domeyko 2010, Santiago, Ejército - Toesca, Santiago",1 dormitorio 1 baño 35 m² útiles
UF1.400,"Av. Almte. Blanco Encalada 1727, Santiago, Ejército - Toesca, Santiago",1 dormitorio 1 baño 22 m² útiles
UF2.390,"Fray Camilo Henríquez 463, Santiago, Santa Isabel, Santiago",2 dormitorios 1 baño 50 m² útiles
UF2.790,"Sta Victoria 492, Santa Isabel, Santiago",2 dormitorios 2 baños 56 m² útiles
UF2.390,"San Francisco 350, Edificio San Francisco Club, Santiago, San Diego, Santiago",3 dormitorios 2 baños 60 m² útiles
UF2.490,"San Isidro 520, Santiago, Santa Isabel, Santiago",2 dormitorios 1 baño 48 m² útiles
UF1.590,"Av. Ejército Libertador 688, Santiago, Chile, Ejército - Toesca, Santiago",1 dormitorio 1 baño 37 m² útiles
UF8.700,"Camino La Cumbre, 3900 - 4200, Barrio República, Santiago",3 dormitorios 2 baños 89 m² útiles
UF2.990,"Santa Isabel, Santiago",2 dormitorios 2 baños 60 m² útiles
UF3.500,"Ejército - Toesca, Santiago",2 dormitorios 2 baños 44 m² útiles
UF1.656,Santiago,1 dormitorio 1 baño 28 m² útiles
UF3.590,"San Diego, Santiago",2 dormitorios 2 baños 65 m² útiles
UF13.500,"Miraflores  Depto, Centro Histórico De Santiago, Santiago",3 dormitorios 2 baños 189 m² útiles
UF3.445,"Morandé, Centro Histórico De Santiago, Santiago",2 dormitorios 2 baños 54 m² útiles
UF17.000,"Ismael Valdés Vergara , Departamento, Barrio Lastarria, Santiago",7 dormitorios 4 baños 255 m² útiles
UF2.870,"Morandé , Dpto, Centro Histórico De Santiago, Santiago",2 dormitorios 2 baños 60 m² útiles
UF2.300,"PARA COMENZAR TUS DIAS EN FAMILIA O TUS PRIMEROS PASOS DE UNIVERSIDAD, Centro Histórico De Santiago, Santiago",2 dormitorios 2 baños 45 m² útiles
$62.990.000,"Arturo Prat 1312, Santiago",1 dormitorio 1 baño 30 m² útiles
UF1.650,"Santa Lucía, Santa Isabel, Santiago",1 dormitorio 1 baño 33 m² útiles
UF2.950,"VENTA DEPTO FAMILIAR E INV. 3D2B1E ZONA ALTA DEMANDA. METRO, Parque Almagro, Santiago",3 dormitorios 62 m² útiles
$59.900.000,"General Mackenna / Morande / Bandera, Centro Histórico De Santiago, Santiago",1 dormitorio 1 baño 38 m² útiles
$58.000.000,"Parque Almagro, Santiago",1 dormitorio 1 baño 33 m² útiles
UF2.090,"ATENCION EXCELENTE UBICACION DEPARTAMENTO VENTA 1D1B BODEGA, Centro Histórico De Santiago, Santiago",1 dormitorio 1 baño 46 m² útiles
UF1.449,"Vicuña Mackenna 601, Santa Isabel, Santiago",1 dormitorio 1 baño 30 m² útiles
UF3.153,"Av. Viel Con Mac Clure, Santiago",3 dormitorios 2 baños 80 m² útiles
UF2.900,"Marcoleta - Portugal, Barrio San Borja, Santiago",3 dormitorios 1 baño 62 m² útiles
UF1.579,"Maturana 750, Departamento 204B, Barrio Brasil, Santiago",1 dormitorio 1 baño 27 m² útiles
UF14.528,"Calle Merced Nº106, Departamento Nº701, Barrio Lastarria, Santiago",6 dormitorios 7 baños 354 m² útiles
UF2.150,"Av San Pablo, 1200 - 1500, Centro Histórico De Santiago, Santiago",2 dormitorios 1 baño 44 m² útiles
UF3.000,"Merced 562, Santiago, Centro Histórico De Santiago, Santiago",1 dormitorio 1 baño 47 m² útiles
UF2.400,"Metro Franklin, Franklin - Biobío, Santiago",1 dormitorio 1 baño 36 m² útiles
UF2.900,"Tucapel Jiménez, Santiago, Centro Histórico De Santiago, Santiago",2 dormitorios 2 baños 52 m² útiles
